ride_no,origin,destination,driver_netid,date,earliest_time,latest_time,seats_available,gas_price,comments
77,"Los Angeles, CA","San Francisco, CA",afk11,2020-04-20,10:00:00,12:00:00,3,20,
79,"Durham, NC","Asheville, NC",afk11,2021-04-22,09:00:00,12:00:00,3,20,
81,"Durham, NC","Raleigh, NC",wgb123,2020-04-02,12:00:00,23:00:00,4,5,let's go!
84,"Albuquerque, NM","Arlington, TX",gal16,2020-08-09,08:00:00,22:00:00,3,10,q
85,"Albuquerque, NM","Arlington, TX",gal16,2020-08-20,08:00:00,22:00:00,3,5,I like the sun
86,"Albuquerque, NM","Asheville, NC",gal16,2020-08-21,08:00:00,22:00:00,4,40,Lots of tolls
87,"Asheville, NC","Charlotte, NC",cas175,2020-07-08,04:50:00,15:30:00,5,5,
73,"Durham, NC","New York, NY",cas175,2021-01-01,18:00:00,19:00:00,1,100,
90,"Tucson, AZ","Louisville, KY",hqu552,2021-01-02,07:30:44,13:07:23,2,196.94,
78,"Baltimore, MD","Durham, NC",afk11,2021-05-08,11:00:00,12:00:00,1,20,
64,"Durham, NC","Myrtle Beach, SC",gal16,2020-06-24,09:00:00,21:00:00,-1,23,comment
88,"Greensboro, NC","Charlotte, NC",njh246,2021-02-20,11:53:50,16:30:21,4,151.22,
89,"Atlanta, GA","Jacksonville, FL",qdc071,2021-03-29,08:12:02,20:05:02,3,123.17,
91,"Wilmington, NC","Durham, NC",ljm602,2020-09-26,03:42:32,15:30:52,4,183.92,In congue.
92,"Detroit, MI","Tulsa, OK",rwd662,2021-03-17,01:28:23,17:13:19,3,119,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
93,"Charlotte, NC","Minneapolis, MN",diw478,2021-03-29,10:43:26,13:33:29,3,87.08,
94,"Sacramento, CA","New York, NY",fve453,2020-12-28,03:44:14,15:37:17,3,31.75,
95,"Los Angeles, CA","Jacksonville, FL",ibv612,2020-11-11,00:42:57,20:20:20,4,152.45,Sed accumsan felis.
96,"El Paso, TX","Kansas City, MO",gjh508,2020-12-19,07:29:07,23:04:33,2,102.06,Praesent id massa id nisl venenatis lacinia.
97,"Aspen, CO","Tulsa, OK",oxg579,2020-10-10,02:45:42,12:27:32,4,106.78,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
98,"Milwaukee, WI","San Diego, CA",wmx431,2021-04-14,09:13:08,17:24:43,1,107.95,
99,"San Jose, CA","Greenville, NC",hre166,2021-01-25,07:15:44,16:54:38,3,16.75,Phasellus id sapien in sapien iaculis congue.
100,"Louisville, KY","Fresno, CA",ori944,2021-04-18,02:00:39,23:10:05,3,139.01,Proin risus.
101,"Louisville, KY","Miami, FL",rhm245,2021-04-17,03:53:10,13:27:10,1,134.42,In congue.
102,"New York, NY","Tulsa, OK",vpr497,2021-02-10,05:23:06,13:29:25,4,57.71,
103,"Dallas, TX","San Antonio, TX",njh246,2020-10-08,08:27:12,14:21:04,3,22.12,
104,"Columbus, OH","Wichita, KS",jsv063,2020-12-18,07:01:56,13:05:08,4,96.65,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
105,"High Point, NC","Aspen, CO",mwx230,2021-03-17,10:05:15,14:06:19,4,137.59,
106,"Houston, TX","Wilmington, NC",noi912,2020-07-29,07:02:06,19:01:24,4,12.92,Morbi ut odio.
107,"Dallas, TX","Kansas City, MO",jtp295,2020-09-18,11:22:14,20:56:40,3,133.16,Cras in purus eu magna vulputate luctus.
108,"San Diego, CA","Greenville, NC",oiw648,2021-03-05,03:55:56,21:55:44,2,115.54,Integer non velit.
109,"San Antonio, TX","Mesa, AZ",who809,2021-01-27,08:24:42,15:42:47,3,40.15,Nullam molestie nibh in lectus.
110,"Long Beach, CA","Atlanta, GA",afi555,2021-01-23,11:41:13,22:42:57,3,37.95,
111,"Wichita, KS","Charlotte, NC",rcl483,2020-11-05,09:25:14,15:21:10,3,126.08,Morbi vel lectus in quam fringilla rhoncus.
112,"Washington, DC","Fresno, CA",zqp345,2020-12-02,08:48:03,21:46:06,4,48.53,Morbi ut odio.
113,"Louisville, KY","El Paso, TX",kzu888,2020-05-18,04:27:09,16:14:59,3,38.77,
114,"Fresno, CA","Long Beach, CA",qxd288,2020-06-27,03:22:55,23:36:44,1,37.45,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
115,"Colorado Springs, CO","Wilmington, NC",mfn163,2020-09-02,11:38:30,22:49:37,4,85.34,
116,"San Francisco, CA","Columbus, OH",ilz027,2020-06-13,02:56:20,21:06:57,2,31.37,Aenean sit amet justo.
117,"Jacksonville, FL","Milwaukee, WI",qze999,2020-04-25,10:45:25,16:08:16,4,56.37,
118,"Miami, FL","Wilmington, NC",gqe590,2020-04-26,03:38:50,13:56:56,3,19.36,
119,"Detroit, MI","Oakland, CA",eoa417,2020-04-26,03:52:34,14:01:33,4,164.67,
120,"San Francisco, CA","Boston, MA",afk11,2020-07-18,01:32:27,21:41:30,1,95.17,
121,"New York, NY","Fresno, CA",kqu408,2020-05-18,03:41:46,18:37:55,2,20.74,Integer tincidunt ante vel ipsum.
122,"Columbus, OH","El Paso, TX",mnu593,2020-11-01,04:22:12,21:44:31,4,186.75,
123,"Baltimore, MD","Colorado Springs, CO",pkc483,2020-07-09,03:43:37,21:12:18,4,170.87,
124,"Tulsa, OK","Columbus, OH",clb103,2021-02-19,11:10:31,23:50:43,3,42.44,Donec vitae nisi.
125,"San Diego, CA","Tucson, AZ",uiq359,2020-09-02,08:32:57,15:05:39,3,160.47,
126,"Seattle, WA","Asheville, NC",uge421,2020-09-06,00:46:00,23:40:27,4,35.35,
127,"Las Vegas, NV","Tulsa, OK",ixo733,2021-02-20,00:52:51,21:35:03,3,1.33,Curabitur gravida nisi at nibh.
128,"Washington, DC","Las Vegas, NV",npm825,2020-10-31,10:58:29,16:12:12,4,72.89,Donec ut dolor.
129,"Columbus, OH","Concord, NC",ibv612,2020-06-20,02:12:19,14:35:11,4,61.18,Phasellus sit amet erat.
130,"New Orleans, LA","Long Beach, CA",ewk154,2020-06-03,01:11:01,21:13:00,2,184.18,
131,"Columbus, OH","Fresno, CA",uhs586,2020-10-16,04:55:26,16:33:41,4,83.61,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
133,"Detroit, MI","Durham, NC",fin450,2020-12-07,07:46:13,14:46:55,4,18.33,
134,"Baltimore, MD","Concord, NC",klf740,2021-03-03,06:01:32,13:47:17,1,187.77,Nam dui.
135,"Greensboro, NC","Nashville, TN",idy064,2020-09-02,03:39:02,21:48:22,1,115.95,Donec ut dolor.
136,"Tulsa, OK","Dallas, TX",ukd631,2021-01-24,07:25:10,16:25:17,1,152.45,Sed ante.
137,"Aspen, CO","Los Angeles, CA",iwv294,2020-07-23,10:23:44,19:51:14,2,99.06,
138,"Long Beach, CA","Wilmington, NC",yud843,2020-08-15,00:16:15,12:58:50,4,186.64,
139,"Winston-Salem, NC","San Antonio, TX",okz995,2020-05-02,10:06:02,23:00:33,3,130.43,
140,"Durham, NC","Arlington, TX",gpk922,2020-12-29,10:46:41,15:25:22,4,152.64,
141,"Greensboro, NC","Tulsa, OK",lik281,2020-05-10,09:21:21,20:29:54,4,86.24,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
142,"Wilmington, NC","Los Angeles, CA",ryh799,2020-06-24,10:46:39,22:06:54,4,15.19,Duis at velit eu est congue elementum.
143,"High Point, NC","San Diego, CA",tsh397,2020-06-15,08:59:29,15:21:47,1,185.01,Integer tincidunt ante vel ipsum.
144,city,"Asheville, NC",gzk509,2021-02-06,00:46:38,17:17:57,4,40.63,
145,"El Paso, TX","Wilmington, NC",ted462,2020-05-06,05:22:30,19:16:30,1,146.11,In hac habitasse platea dictumst.
146,"Los Angeles, CA","Concord, NC",spz846,2021-04-22,00:25:38,16:03:16,3,87.08,Donec dapibus.
147,"Boston, MA","Los Angeles, CA",ubi560,2020-12-21,07:47:01,21:47:00,4,55.34,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
148,"San Diego, CA","El Paso, TX",pvw854,2020-09-05,02:21:22,16:32:18,4,150.46,Aliquam quis turpis eget elit sodales scelerisque.
149,"Chicago, IL","Oakland, CA",etx794,2020-10-31,03:12:13,17:47:34,4,10.33,
150,"Greensboro, NC","Greenville, NC",tox558,2020-04-26,06:30:39,18:05:23,4,189.75,
151,"Houston, TX","Washington, DC",ted462,2021-01-27,03:16:32,23:08:33,4,151.62,In hac habitasse platea dictumst.
152,"Sacramento, CA","Miami, FL",ekq566,2021-02-27,04:18:35,22:14:12,4,69.03,
153,"Winston-Salem, NC","New York, NY",ink427,2020-10-16,05:29:15,15:44:30,3,101.83,Proin interdum mauris non ligula pellentesque ultrices.
154,"Kansas City, MO","Dallas, TX",igw051,2020-07-21,04:11:57,20:59:38,2,60.48,Nam dui.
155,"Austin, TX","Washington, DC",qsc258,2020-08-02,00:30:43,22:24:28,4,184.72,Vivamus tortor.
156,"Houston, TX","Albuquerque, NM",cvr609,2020-07-15,01:06:54,22:38:25,1,167.27,Aenean sit amet justo.
157,"Atlanta, GA","Denver, CO",qph884,2021-02-20,10:58:29,23:57:32,4,126.44,
158,"Greenville, NC","Colorado Springs, CO",ddd12,2020-12-13,09:59:06,20:07:07,1,156.3,
159,"Mesa, AZ","Fresno, CA",qiv348,2020-08-15,10:50:30,14:19:15,4,48.99,Nam nulla.
160,"Tucson, AZ","Wichita, KS",xcf577,2020-09-28,03:21:41,20:52:46,4,139.82,Proin at turpis a pede posuere nonummy.
161,"Charlotte, NC","Tucson, AZ",uho294,2021-02-02,11:30:26,15:09:07,4,98.04,Donec quis orci eget orci vehicula condimentum.
162,"Wichita, KS","El Paso, TX",lew278,2021-04-04,03:01:10,18:06:37,4,163.27,
163,"Albuquerque, NM","Austin, TX",ytl341,2020-07-02,03:51:59,21:30:54,4,194.03,In blandit ultrices enim.
164,"Baltimore, MD","Virginia Beach, VA",veh811,2020-09-19,06:42:23,22:55:03,4,134.69,
165,"Fresno, CA","Greensboro, NC",xgo540,2021-02-05,00:31:59,21:42:32,4,143.2,Nam tristique tortor eu pede.
166,"Denver, CO",city,qsb272,2020-11-13,04:57:50,23:56:47,4,135.23,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
167,"Mesa, AZ","Kansas City, MO",noi912,2021-02-01,03:02:36,12:40:55,3,129.24,
168,"Greenville, NC","Dallas, TX",agk19,2020-06-26,03:10:16,15:59:55,4,178.35,Nunc purus.
169,"Indianapolis, IN","Austin, TX",etx794,2020-11-29,02:03:48,20:36:59,4,66.83,Proin risus.
170,"Asheville, NC","San Antonio, TX",shq326,2020-07-20,03:40:21,13:22:09,4,20.23,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
171,"Mesa, AZ","New Orleans, LA",src882,2020-11-04,11:15:32,23:31:00,1,5.37,Maecenas ut massa quis augue luctus tincidunt.
172,city,"Asheville, NC",diw478,2020-09-16,00:08:59,16:37:34,4,4.45,
173,"Seattle, WA","Louisville, KY",ori944,2021-04-10,10:55:38,17:58:44,3,103.04,
174,"Dallas, TX","Virginia Beach, VA",acu427,2020-08-25,03:06:37,18:09:22,4,98.61,Sed accumsan felis.
175,"Sacramento, CA","Colorado Springs, CO",bdf119,2020-07-30,02:24:24,13:25:09,1,80.33,Etiam vel augue.
176,"Louisville, KY","Seattle, WA",xnq312,2021-04-06,00:08:17,16:36:01,2,16.4,
177,"San Jose, CA","Tulsa, OK",xpy362,2020-09-13,04:01:37,12:23:04,2,0.56,Nulla tellus.
178,"Colorado Springs, CO","New York, NY",duk889,2021-01-07,00:05:22,16:54:54,4,75.57,
179,"Denver, CO",city,ogq674,2020-07-30,09:58:46,14:34:25,3,174.23,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
180,"Milwaukee, WI","Myrtle Beach, SC",xck911,2020-12-30,04:40:11,19:04:42,2,91.01,
181,"Boston, MA","Baltimore, MD",nhk445,2021-03-06,09:13:02,22:42:37,4,104.91,
182,"Memphis, TN","Indianapolis, IN",mqi458,2020-09-02,03:19:51,13:31:34,1,18.77,
183,"Tucson, AZ","Nashville, TN",ypa384,2021-02-13,06:02:28,15:18:08,4,56.75,
184,"Albuquerque, NM","Minneapolis, MN",thm990,2020-11-28,00:03:16,23:24:37,4,54.45,
185,"Houston, TX","Aspen, CO",njh246,2021-01-09,03:34:20,14:55:01,3,81.57,
186,"Milwaukee, WI","Washington, DC",vpr497,2020-07-14,04:00:53,12:03:53,4,70.07,Sed ante.
187,"Long Beach, CA","Louisville, KY",jrg965,2020-07-21,09:23:10,15:41:17,4,85.92,
188,"Virginia Beach, VA","Minneapolis, MN",jw108,2020-11-13,07:05:54,16:29:49,4,188.04,Donec posuere metus vitae ipsum.
189,"Greenville, NC","Oakland, CA",kof738,2020-05-18,09:37:45,22:00:45,4,82.96,
190,"Greensboro, NC","Aspen, CO",eol633,2021-02-20,01:09:02,18:48:48,2,57.18,
191,"Greensboro, NC","Aspen, CO",gjh508,2021-02-18,06:27:01,12:47:19,4,47.57,
192,"San Antonio, TX","El Paso, TX",ezq739,2020-11-10,04:12:21,14:07:08,4,105.31,
193,"Milwaukee, WI","Baltimore, MD",lgc139,2021-04-15,06:39:53,18:13:06,4,13.01,Mauris sit amet eros.
194,"San Jose, CA","Los Angeles, CA",nac683,2020-10-29,06:05:46,15:33:30,1,197.97,
195,"Arlington, TX","Detroit, MI",hyi594,2021-03-15,06:52:37,18:36:46,3,36.61,
197,"Virginia Beach, VA","Long Beach, CA",axq244,2020-05-25,11:18:15,21:50:23,1,131.03,Nam dui.
198,"El Paso, TX","Milwaukee, WI",pai306,2020-06-14,04:11:14,20:02:16,3,97.35,
199,"Chicago, IL","Louisville, KY",ofn877,2020-11-05,08:45:02,16:21:02,3,102.09,In hac habitasse platea dictumst.
200,"New Orleans, LA","Washington, DC",ule479,2021-01-17,07:06:41,16:13:02,4,101.89,Aliquam erat volutpat.
201,"Kansas City, MO","Columbus, OH",bfy856,2020-06-17,00:35:19,18:39:50,3,13.53,Donec ut dolor.
202,"Wichita, KS","Milwaukee, WI",rbi866,2020-10-05,00:18:44,12:52:57,4,177.66,Vivamus vel nulla eget eros elementum pellentesque.
203,"Asheville, NC","Kansas City, MO",jad547,2020-07-12,09:30:49,16:00:28,3,67.97,Maecenas tincidunt lacus at velit.
204,"Sacramento, CA","Memphis, TN",dgs281,2021-02-18,11:12:25,12:47:48,3,167.42,
205,"Los Angeles, CA","Denver, CO",wpb037,2020-08-19,09:09:49,15:13:08,1,134.01,
206,"Nashville, TN","Albuquerque, NM",rdv527,2021-02-10,03:01:22,15:12:27,3,88.13,Morbi porttitor lorem id ligula.
207,"Asheville, NC","San Jose, CA",epj486,2020-10-17,09:40:50,20:01:57,1,27.12,
208,"Colorado Springs, CO","Virginia Beach, VA",ayq166,2020-08-16,10:09:57,18:14:36,3,47.53,In eleifend quam a odio.
209,"Asheville, NC","Durham, NC",htl348,2020-12-07,02:54:17,12:12:23,4,192.34,Morbi vel lectus in quam fringilla rhoncus.
210,"Baltimore, MD","Fresno, CA",mpk816,2021-01-23,08:11:19,18:25:44,1,144.37,
211,"Boca Grande, FL","Minneapolis, MN",gld644,2021-04-01,09:27:48,21:35:20,2,84.76,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
212,"Chicago, IL","Tucson, AZ",ajz594,2020-10-23,02:32:14,17:22:41,3,198.07,
213,"Boca Grande, FL","New York, NY",iwv294,2021-02-24,07:14:30,22:08:06,3,107.11,
214,"Chicago, IL","Louisville, KY",ezh116,2020-06-21,00:39:56,23:56:15,4,196.9,
215,"Jacksonville, FL","Nashville, TN",itr920,2020-08-09,02:16:48,22:48:08,4,195.73,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
216,"Tucson, AZ","Boston, MA",jic414,2020-08-03,04:33:14,19:11:13,4,83.96,Ut at dolor quis odio consequat varius.
217,"New York, NY","High Point, NC",gld644,2020-09-28,00:11:48,21:33:54,4,43.52,
218,"San Jose, CA","Jacksonville, FL",pnx737,2020-07-07,02:59:29,23:54:22,2,21.12,
219,"Houston, TX","Mesa, AZ",rhm245,2020-12-17,00:44:16,23:29:46,3,48.99,Sed accumsan felis.
220,"Cary, NC","Detroit, MI",xzv394,2020-09-21,03:51:45,12:31:49,3,16.02,Curabitur gravida nisi at nibh.
221,"Long Beach, CA","New York, NY",olb296,2020-09-29,07:45:21,21:53:11,4,179.54,
222,"Las Vegas, NV","Milwaukee, WI",vpr497,2020-06-06,07:29:41,19:28:12,3,75.05,Pellentesque at nulla.
223,"Aspen, CO",city,tpu611,2021-01-25,07:41:35,23:02:57,2,67.54,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
224,"San Jose, CA","Memphis, TN",joe228,2021-01-03,04:33:40,12:43:45,4,116,Nunc rhoncus dui vel sem.
225,"Seattle, WA","San Antonio, TX",ywg077,2020-08-26,11:33:26,21:21:23,4,197.52,
226,"Memphis, TN","Atlanta, GA",sup607,2021-03-31,06:56:33,16:30:22,2,29.62,In hac habitasse platea dictumst.
227,"Arlington, TX","Fresno, CA",dpn826,2020-11-28,07:26:29,22:17:40,3,118.84,
228,"Colorado Springs, CO","Minneapolis, MN",kuo966,2021-02-11,07:27:06,16:08:55,3,122.89,Suspendisse accumsan tortor quis turpis.
229,"San Antonio, TX","Concord, NC",nlo515,2020-10-18,06:56:17,18:13:44,3,59.64,Phasellus id sapien in sapien iaculis congue.
230,"Austin, TX","Nashville, TN",lvs129,2020-11-04,11:55:25,17:09:32,4,172.46,
231,"Kansas City, MO","Milwaukee, WI",zhb829,2020-05-08,07:06:02,23:06:53,1,130.95,
232,"San Antonio, TX","Columbus, OH",gux965,2021-02-08,07:41:26,12:08:31,4,28.49,Proin at turpis a pede posuere nonummy.
233,"Detroit, MI","Aspen, CO",brh162,2021-02-26,00:50:50,23:10:35,4,55.57,
234,"Boca Grande, FL","San Jose, CA",ezq739,2020-06-20,00:34:47,18:16:40,4,110.55,
235,"Miami, FL","Albuquerque, NM",fqw266,2020-10-31,10:52:21,17:43:12,4,169.23,
236,"Sacramento, CA","Boca Grande, FL",btc788,2021-01-06,09:55:15,14:35:58,3,154.85,
237,"Durham, NC","Albuquerque, NM",qni695,2021-04-07,07:30:57,13:05:07,4,182.37,Morbi porttitor lorem id ligula.
238,"Baltimore, MD","Sacramento, CA",yjo700,2020-05-10,06:17:38,15:01:44,4,24.8,
240,"Los Angeles, CA","Las Vegas, NV",yif577,2021-04-07,00:17:16,22:05:31,3,81.99,Aliquam sit amet diam in magna bibendum imperdiet.
241,"Durham, NC","San Francisco, CA",tsh397,2020-08-11,09:06:12,12:23:27,4,21.18,
242,"Asheville, NC","Boca Grande, FL",ebr364,2020-08-04,00:26:53,18:18:40,1,6.03,
243,"Oakland, CA","Myrtle Beach, SC",iwu710,2020-08-30,03:57:02,18:48:22,1,125.29,
244,"Columbus, OH","Asheville, NC",xvz304,2020-12-18,01:23:00,20:49:28,1,32.6,Donec quis orci eget orci vehicula condimentum.
245,"Wilmington, NC","Asheville, NC",onh033,2020-10-18,11:53:21,16:21:35,4,119.57,Aliquam erat volutpat.
246,"El Paso, TX",city,rwq352,2020-10-23,00:39:21,15:17:40,4,81.02,Nulla tempus.
247,"Arlington, TX","Atlanta, GA",yaf425,2020-08-09,02:07:15,20:36:36,4,79.47,
248,"Nashville, TN","Washington, DC",uqm164,2020-09-19,00:28:15,21:58:05,4,18.35,Morbi vel lectus in quam fringilla rhoncus.
249,"Washington, DC","Aspen, CO",lnf603,2021-01-22,10:01:56,16:44:33,4,189.46,
250,"Denver, CO","Boca Grande, FL",qby157,2020-06-25,09:50:21,12:06:31,4,119.13,
251,"Sacramento, CA","Nashville, TN",smn201,2020-12-09,02:33:12,23:45:33,3,133.76,Sed vel enim sit amet nunc viverra dapibus.
252,"San Diego, CA","Jacksonville, FL",axq244,2021-01-28,02:27:52,21:41:12,3,87.09,
253,"Jacksonville, FL","Tucson, AZ",jnh901,2020-06-02,05:31:22,16:07:10,4,58.91,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
254,"Memphis, TN","Los Angeles, CA",oet344,2021-01-23,03:27:16,21:44:17,2,175.24,
255,"Denver, CO","Wichita, KS",xaw479,2020-08-06,05:43:59,21:28:25,2,53.74,
256,city,"High Point, NC",hqx761,2020-08-10,01:58:07,12:12:30,4,45.1,Donec posuere metus vitae ipsum.
257,"Mesa, AZ","Columbus, OH",fbv528,2020-06-25,00:08:08,17:06:47,4,149.28,Proin eu mi.
258,"Memphis, TN","Albuquerque, NM",yet059,2020-11-24,02:52:02,12:04:38,4,154.37,
259,"High Point, NC","Aspen, CO",zqp345,2021-01-25,01:50:48,22:23:56,4,135.38,Pellentesque viverra pede ac diam.
260,"Nashville, TN","Indianapolis, IN",yfe906,2021-03-06,03:42:34,20:12:04,1,29.89,
261,"Milwaukee, WI",city,bng770,2020-09-08,03:37:43,23:55:31,4,181.89,Donec ut dolor.
262,"Long Beach, CA","El Paso, TX",thm990,2021-02-26,05:03:28,19:11:00,4,80.61,
263,"Jacksonville, FL","Mesa, AZ",vez619,2020-12-11,03:15:14,13:01:49,3,79.82,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
264,"New York, NY","Wilmington, NC",xmk470,2020-06-03,07:34:16,23:25:14,1,69.6,
265,"High Point, NC","Concord, NC",rpb245,2021-03-28,01:18:27,13:03:20,1,22.23,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
266,"Boca Grande, FL","Tucson, AZ",iwu710,2020-07-26,02:40:25,16:18:56,1,85.37,
267,"Houston, TX","Austin, TX",yjo700,2020-12-05,03:12:24,19:13:27,3,45.42,Morbi non lectus.
268,"Tulsa, OK","Minneapolis, MN",nmz754,2020-08-21,00:39:38,13:53:45,1,165.22,Vivamus tortor.
269,"Seattle, WA","Myrtle Beach, SC",yod694,2020-09-17,07:49:06,12:29:31,3,87.64,Nulla ac enim.
270,"San Francisco, CA","Colorado Springs, CO",vpr497,2020-12-09,09:35:51,15:13:13,1,126.47,
271,"Kansas City, MO","Durham, NC",fwd726,2020-12-26,00:22:27,16:12:03,4,84.75,Mauris ullamcorper purus sit amet nulla.
272,"Boston, MA",city,xnq312,2020-05-30,11:22:38,22:05:33,1,163.24,
273,"Arlington, TX","Baltimore, MD",hyi594,2020-11-10,07:43:24,18:40:29,4,58.59,
